plot_number_T,plot_name,sr,latitude,longitude,cushion_num,cushion_01,alt_a,T_VELOCITY,AET,bio1,bio2,bio4,bio5,bio6,bio11,bio12,bio13,bio14,bio15,bio19,cfvo_15_mean,region,temperature_lgm,temperature_change,precipitation_lgm,precipitation_change
1,ZZYF01,21,28.045,91.9558333,1,1,4560,0.632211804,286,0.408333242,14.11666679,626.7224731,13.69999981,-17.60000038,-7.200000286,370,73,5,75.77050781,20,25,Himalaya,-28.5,28.90833324,300.5,-69.5
2,ZZYF02,18,28.044172,91.956837,2,1,4570,0.632211804,286,0.408333242,14.11666679,626.7224731,13.69999981,-17.60000038,-7.200000286,370,73,5,75.77050781,20,25,Himalaya,-28.5,28.90833324,300.5,-69.5
3,ZZYF03,38,28.044218,91.95691,5,1,4625,0.632211804,286,0.408333242,14.11666679,626.7224731,13.69999981,-17.60000038,-7.200000286,370,73,5,75.77050781,20,25,Himalaya,-28.5,28.90833324,300.5,-69.5
4,ZZYF04,18,28.045833,91.9552778,0,0,4570,0.632211804,286,0.408333242,14.11666679,626.7224731,13.69999981,-17.60000038,-7.200000286,370,73,5,75.77050781,20,25,Himalaya,-28.5,28.90833324,300.5,-69.5
5,ZZYF05,25,28.3063889,91.8858333,3,1,5055,0.527375162,257,-1.904166698,13.47500038,620.3498535,10.69999981,-19.60000038,-9.600000381,342,74,5,84.02777863,17,41,Himalaya,-58.5,56.5958333,253,-89
6,ZZYF06,34,28.301077,91.877653,5,1,5180,0.527375162,258,-1.966666579,13.73333359,619.6712036,10.60000038,-19.79999924,-9.666666031,342,74,5,84.02777863,17,39,Himalaya,-58.5,56.53333342,253,-89
7,ZZYF07,13,28.605,92.2166667,0,0,4970,0.713220954,239,-1.654166579,14.24166679,622.9053955,11.39999962,-19.79999924,-9.433333397,326,75,4,92.68965912,14,30,Himalaya,-61,59.34583342,228,-98
8,ZZYF08,19,28.629398,92.218344,0,0,5119,0.713220954,244,-2.220833302,13.8083334,632.8128662,10.89999962,-20.20000076,-10.0666666,329,76,4,92.24871063,14,32,Himalaya,-72,69.7791667,229,-100
9,ZZYF09,14,29.133327,90.164727,0,0,4235,0.659975111,242,1.754166603,15.07499981,650.4454956,16,-17,-6.616666794,295,88,1,128.1904602,3,17,Himalaya,-40.5,42.2541666,197,-98
10,ZZYF10,16,29.121055,90.1708056,1,1,4249,0.659975111,243,1.645833254,14.89166641,656.8778076,15.89999962,-17.10000038,-6.800000191,295,88,1,128.1904602,3,18,Himalaya,-42,43.64583325,194.5,-100.5
11,ZZYF11,23,29.120678,90.170841,0,0,4278,0.659975111,243,1.645833254,14.89166641,656.8778076,15.89999962,-17.10000038,-6.800000191,295,88,1,128.1904602,3,18,Himalaya,-42,43.64583325,194.5,-100.5
12,ZZYF12,11,28.4124444,90.5755833,1,1,5105,0.562611103,240,-2.216666698,14.8166666,623.0326538,11.19999981,-20.39999962,-9.966666222,292,79,3,106.4437408,9,31,Himalaya,-65.5,63.2833333,230,-62
13,ZZYF13,10,28.41619,90.581262,3,1,5320,0.562611103,240,-2.216666698,14.8166666,623.0326538,11.19999981,-20.39999962,-9.966666222,292,79,3,106.4437408,9,31,Himalaya,-65.5,63.2833333,230,-62
14,ZZYF14,17,28.4130556,90.5752778,1,1,5130,0.562611103,240,-2.216666698,14.8166666,623.0326538,11.19999981,-20.39999962,-9.966666222,292,79,3,106.4437408,9,31,Himalaya,-65.5,63.2833333,230,-62
15,ZZYF15,17,28.419981,90.558395,3,1,5412,0.562611103,240,-3.34166646,14.64999962,627.5233765,10.10000038,-21.5,-11.11666679,288,79,3,106.7060547,10,33,Himalaya,-78.5,75.15833354,220,-68
16,ZZYF16,15,28.8938889,90.1763889,1,1,5024,0.55613631,213,-3.174999952,13.1833334,664.6615601,10.19999981,-20.60000038,-11.46666622,249,77,1,126.5545197,4,27,Himalaya,-81.5,78.32500005,181.5,-67.5
17,ZZYF17,7,28.88587,90.173104,0,0,5135,0.55613631,213,-3.575000048,13.3166666,664.1108398,9.899999619,-21.10000038,-11.83333302,246,76,1,125.6283646,5,29,Himalaya,-81.5,77.92499995,181.5,-64.5
18,ZZYF18,20,28.889236,90.173388,2,1,5182,0.55613631,213,-3.575000048,13.3166666,664.1108398,9.899999619,-21.10000038,-11.83333302,246,76,1,125.6283646,5,29,Himalaya,-81.5,77.92499995,181.5,-64.5
19,ZZYF19,18,28.8936111,90.1783333,1,1,5070,0.55613631,213,-3.174999952,13.1833334,664.6615601,10.19999981,-20.60000038,-11.46666622,249,77,1,126.5545197,4,27,Himalaya,-81.5,78.32500005,181.5,-67.5
20,ZZYF20,23,27.5577778,89.0725185,1,1,4678,0.814956129,357,-1.5,11.75,582.0379639,9.300000191,-17.5,-8.733333588,410,113,4,108.3682251,16,24,Himalaya,-35.5,34,431.5,21.5
21,ZZYF21,10,27.551118,89.074231,1,1,4700,0.814956129,357,-1.5,11.75,582.0379639,9.300000191,-17.5,-8.733333588,410,113,4,108.3682251,16,24,Himalaya,-35.5,34,431.5,21.5
22,ZZYF22,37,27.5577778,89.0722407,1,1,4660,0.814956129,357,-1.5,11.75,582.0379639,9.300000191,-17.5,-8.733333588,410,113,4,108.3682251,16,24,Himalaya,-35.5,34,431.5,21.5
23,ZZYF23,34,27.551313,89.0741,3,1,4695,0.814956129,357,-1.5,11.75,582.0379639,9.300000191,-17.5,-8.733333588,410,113,4,108.3682251,16,24,Himalaya,-35.5,34,431.5,21.5
24,ZZYF24,23,27.5580556,89.0716852,0,0,4660,0.814956129,357,-1.5,11.75,582.0379639,9.300000191,-17.5,-8.733333588,410,113,4,108.3682251,16,24,Himalaya,-35.5,34,431.5,21.5
25,ZZYF25,16,27.55193,89.07508,3,1,4738,0.814956129,374,-0.816666663,11.63333321,585.6206055,9.800000191,-16.79999924,-8.149999619,433,116,4,105.9448547,17,25,Himalaya,-35.5,34.68333334,431.5,-1.5
26,ZZYF26,19,27.7938889,89.0083472,2,1,4793,2.054414988,323,-0.841666639,12.9333334,607.7261353,10.80000019,-17.89999962,-8.399999619,335,97,3,116.235054,12,19,Himalaya,-39,38.15833336,343.5,8.5
27,ZZYF27,18,27.798499,89.053517,5,1,4889,2.054414988,305,-1.595833302,13.24166679,602.6021729,10.19999981,-18.89999962,-9.033333778,321,93,3,117.7880325,12,22,Himalaya,-38.5,36.9041667,341.5,20.5
28,ZZYF28,21,28.063888,89.0158518,1,1,4785,1.3626827,267,-2.037499905,14.25833321,666.1426392,11.5,-20.10000038,-10.38333321,264,82,3,124.8060913,10,27,Himalaya,-57.5,55.4625001,270.5,6.5
29,ZZYF29,15,28.085373,89.091023,4,1,4800,1.3626827,263,-1.512500048,14.72500038,678.4813232,12.5,-20,-10.03333378,261,82,2,126.8319016,8,22,Himalaya,-53.5,51.98749995,268,7
30,ZZYF30,16,28.1125,87.6338889,0,0,4951,0.596309543,292,-2.545833349,11.6916666,611.6574097,9.600000381,-18,-10.0666666,342,66,8,64.43920898,50,25,Himalaya,-70.5,67.95416665,290.5,-51.5
31,ZZYF31,15,28.117241,87.664262,2,1,4943,0.596309543,294,-1.816666603,12.60000038,623.2733765,11,-17.79999924,-9.449999809,346,67,8,65.21385193,49,23,Himalaya,-70.5,68.6833334,290.5,-55.5
32,ZZYF32,17,28.116388,87.6386111,2,1,4937,0.596309543,292,-2.545833349,11.6916666,611.6574097,9.600000381,-18,-10.0666666,342,66,8,64.43920898,50,25,Himalaya,-70.5,67.95416665,290.5,-51.5
33,ZZYF33,22,28.10965,87.661287,1,1,4946,0.596309543,296,-1.658333421,12.53333378,622.1255493,11.10000038,-17.60000038,-9.300000191,356,69,8,65.48856354,49,25,Himalaya,-70.5,68.84166658,290.5,-65.5
34,ZZYF34,14,28.12833,87.6883333,2,1,4888,0.596309543,297,-0.954166591,13.52499962,623.9626465,12.39999962,-17.29999924,-8.600000381,358,70,8,66.24814606,49,22,Himalaya,-55.5,54.54583341,309.5,-48.5
35,ZZYF35,15,28.129355,87.702816,4,1,4896,0.596309543,297,-0.675000072,13.90000057,625.1054688,12.89999962,-17.20000076,-8.350000381,360,71,8,67.60913849,47,23,Himalaya,-55.5,54.82499993,309.5,-50.5
36,ZZYF36,27,28.2111111,86.8211111,2,1,4856,0.811457455,303,-1.266666532,13.0666666,587.0509033,11.60000038,-16.89999962,-8.683333397,395,48,11,36.07666016,95,22,Himalaya,-77,75.73333347,283.5,-111.5
37,ZZYF37,34,28.221182,86.823194,3,1,4891,0.811457455,300,-1.108333349,13.13333321,585.5449219,11.80000019,-16.79999924,-8.516666412,398,49,11,35.79909134,95,24,Himalaya,-77,75.89166665,283.5,-114.5
38,ZZYF38,21,28.3388889,86.7566667,2,1,4999,0.811457455,272,-0.883333385,14.71666718,585.3023071,13,-17.10000038,-8.199999809,344,41,10,36.73815155,92,21,Himalaya,-76.5,75.61666662,260,-84
39,ZZYF39,20,28.31324,86.721384,3,1,5083,0.421517491,279,-1.666666627,13.88333321,600.8453979,12.10000038,-17.70000076,-9.183333397,344,41,10,36.05705643,94,21,Himalaya,-77,75.33333337,274,-70
40,ZZYF40,21,28.3394444,86.7572222,2,1,5061,0.811457455,272,-0.883333385,14.71666718,585.3023071,13,-17.10000038,-8.199999809,344,41,10,36.73815155,92,21,Himalaya,-76.5,75.61666662,260,-84
41,ZZYF41,20,28.329246,86.736138,4,1,5078,0.421517491,275,-1.129166722,14.45833302,594.1282959,12.80000019,-17.29999924,-8.550000191,345,41,10,36.26303101,94,22,Himalaya,-77,75.87083328,274,-71
42,ZZYF42,11,28.2175,86.0127917,2,1,5142,0.523950636,457,3.891666651,13.1833334,550.8705444,16.39999962,-11.19999981,-3.050000191,574,69,14,33.23620987,133,21,Himalaya,-29.5,33.39166665,439,-135
43,ZZYF43,21,28.224385,86.057285,4,1,5149,0.523950636,314,-1.512499928,12.6916666,566.0032349,11,-16.39999962,-8.466666222,379,53,11,40.49329376,127,25,Himalaya,-67.5,65.98750007,332,-47
44,ZZYF44,25,28.2341667,86.00973,2,1,4695,0.523950636,443,3.6875,13.17500019,555.7473145,16.29999924,-11.39999962,-3.299999952,561,67,14,33.02996826,133,20,Himalaya,-29.5,33.1875,439,-122
45,ZZYF45,30,28.243022,86.033723,2,1,4392,0.523950636,408,3.120833397,13.42500019,559.2789917,15.80000019,-12.10000038,-3.900000095,520,60,13,32.5928421,135,22,Himalaya,-29.5,32.6208334,439,-81
46,ZZYF46,15,29.006111,87.46,1,1,5059,0.702870071,209,-1.054166555,14.64166641,620.902771,13.30000019,-18.29999924,-8.883333206,249,50,6,64.43122864,39,22,Himalaya,-69,67.94583345,181,-68
47,ZZYF47,18,28.573796,85.217045,0,0,4321,0.287211776,326,2.466666698,12.35000038,522.3214722,14.19999981,-12.10000038,-4.200000286,444,54,11,36.44695663,129,21,Himalaya,-27,29.4666667,357.5,-86.5
48,ZZYF48,10,28.576607,85.214118,0,0,4034,0.287211776,319,1.6875,12.32499981,527.085144,13.39999962,-13,-5.033333302,427,54,11,37.7947464,131,22,Himalaya,-27,28.6875,357.5,-69.5
49,ZZYF49,13,28.98586,87.4588005,0,0,4934,0.702870071,210,-0.82916677,14.59166622,628.8497925,13.60000038,-18.20000076,-8.783333778,263,52,7,63.16548157,41,21,Himalaya,-77.5,76.67083323,177.5,-85.5
50,ZZYF50,34,29.03305,92.3502778,4,1,4900,0.565735042,237,-0.908333361,13.63333321,618.7664795,11.89999962,-18.60000038,-8.616666794,333,83,3,103.311058,10,15,Himalaya,-46.5,45.59166664,209.5,-123.5
51,ZZYF51,20,29.897345,90.133254,1,1,5424,0.628729641,216,-4.420833111,12.97500038,701.9209595,9.600000381,-22.39999962,-13.10000038,295,90,1,128.2662964,4,25,TP,-92,87.57916689,173.5,-121.5
52,ZZYF52,16,29.9069444,90.0125278,1,1,5314,0.628729641,214,-8.233333588,11.09999943,717.4333496,5.5,-25,-16.95000076,271,85,2,128.6453857,7,31,TP,-115,106.7666664,168.5,-102.5
53,ZZYF53,16,29.897096,90.133774,0,0,5456,0.628729641,216,-4.925000191,12.73333359,702.9208374,9.100000381,-22.70000076,-13.60000038,291,89,1,127.7984543,4,27,TP,-92,87.07499981,173.5,-117.5
54,ZZYF54,16,29.9069444,90.0128055,1,1,5309,0.628729641,214,-8.233333588,11.09999943,717.4333496,5.5,-25,-16.95000076,271,85,2,128.6453857,7,31,TP,-115,106.7666664,168.5,-102.5
55,ZZYF55,38,29.037486,92.347243,1,1,4896,0.565735042,239,-1.158333302,13.59999943,621.730835,11.69999981,-18.79999924,-8.899999619,337,83,3,102.0883789,10,16,Himalaya,-46.5,45.3416667,209.5,-127.5
56,ZZYF56,30,29.03361,92.35,0,0,4895,0.565735042,239,0.137500018,13.74166679,621.5710449,13,-17.70000076,-7.650000095,324,83,2,106.7416763,8,16,Himalaya,-46.5,46.63750002,209.5,-114.5
57,ZZYF57,20,29.035908,92.347324,0,0,4874,0.565735042,239,-1.158333302,13.59999943,621.730835,11.69999981,-18.79999924,-8.899999619,337,83,3,102.0883789,10,16,Himalaya,-46.5,45.3416667,209.5,-127.5
58,ZZYF58,20,25.671687,100.091844,0,0,4040,0.666885018,663,5.587500095,9.375,443.5606079,14,-6.900000095,-0.133333281,952,167,13,68.73134613,59,29,HDM,48.5,-42.91249991,1059.5,107.5
59,ZZYF59,16,25.671789,100.092203,0,0,4080,0.817524135,663,5.587500095,9.375,443.5606079,14,-6.900000095,-0.133333281,952,167,13,68.73134613,59,29,HDM,48.5,-42.91249991,1059.5,107.5
60,ZZYF60,25,25.671892,100.092562,0,0,4030,0.817524135,663,5.587500095,9.375,443.5606079,14,-6.900000095,-0.133333281,952,167,13,68.73134613,59,29,HDM,48.5,-42.91249991,1059.5,107.5
61,ZZYF61,19,28.7827778,92.9136111,1,1,5020,0.430692554,270,-2.504166603,12.84166718,617.37146,9.5,-19.60000038,-10.15000057,381,88,3,94.71578979,13,52,Himalaya,-70.5,67.9958334,250.5,-130.5
62,ZZYF62,4,29.3517417,93.5119444,0,0,4832,0.746302068,376,4.091666698,11.64999962,609.7645874,16.70000076,-11.69999981,-3.733333111,471,110,1,101.2645798,6,25,TP,-18,22.0916667,311.5,-159.5
63,ZZYF63,26,29.3517417,93.5119444,1,1,4832,0.746302068,376,4.091666698,11.64999962,609.7645874,16.70000076,-11.69999981,-3.733333111,471,110,1,101.2645798,6,25,TP,-18,22.0916667,311.5,-159.5
64,ZZYF64,19,28.675,92.9355556,0,0,5007,0.430692554,272,-2.154166698,13.02499962,606.6092529,9.800000191,-19.39999962,-9.599999428,375,86,4,93.17464447,14,38,Himalaya,-60,57.8458333,257,-118
65,ZZYF65,6,28.673574,92.929413,0,0,5057,0.430692554,271,-1.920833468,13.0583334,606.3694458,10.10000038,-19.20000076,-9.366666794,370,86,3,94.78977203,13,35,Himalaya,-60,58.07916653,257,-113
66,ZZYF66,18,28.673478,92.929271,1,1,5063,0.430692554,271,-1.920833468,13.0583334,606.3694458,10.10000038,-19.20000076,-9.366666794,370,86,3,94.78977203,13,35,Himalaya,-60,58.07916653,257,-113
67,ZhangDC001,16,28.206,86.555,3,1,5403,0.333480269,287,-3.979166746,12.1916666,592.9910889,8.399999619,-19.20000076,-11.15000057,328,42,10,39.59848785,100,27,Himalaya,-87,83.02083325,293,-35
68,ZhangDC002,17,28.386,85.411,0,0,4031,0.221287563,396,4.658333302,11.5,446.3479614,14.80000019,-8.399999619,-1.149999976,537,65,11,35.77233887,124,18,Himalaya,0.5,4.158333302,472,-65
69,ZhangDC003,8,28.398,85.411,0,0,4031,0.221287563,382,4.287499905,11.59166622,446.8329163,14.5,-8.800000191,-1.51666677,518,59,11,34.34885788,127,18,Himalaya,0.5,3.787499905,472,-46
70,ZhangDC004,3,28.3991396,85.4119098,0,0,4101,0.221287563,382,4.287499905,11.59166622,446.8329163,14.5,-8.800000191,-1.51666677,518,59,11,34.34885788,127,18,Himalaya,0.5,3.787499905,472,-46
71,ZhangDC005,6,28.935,85.417,0,0,5093,0.581916749,262,-0.362499982,14.54166698,620.7294922,14.19999981,-16.89999962,-8.033332825,301,47,4,54.13169479,118,28,Himalaya,-64,63.63750002,258.5,-42.5
72,ZhangDC006,3,28.9351461,85.4174513,0,0,5000,0.581916749,262,-0.362499982,14.54166698,620.7294922,14.19999981,-16.89999962,-8.033332825,301,47,4,54.13169479,118,28,Himalaya,-64,63.63750002,258.5,-42.5
73,ZhangDC007,22,29.616,84.407,2,1,4910,1.2666924,291,1.508333325,15.51666641,634.7613525,16.79999924,-15.80000019,-6.5,268,40,1,54.77225494,100,17,TP,-65,66.50833333,289.5,21.5
74,ZhangDC008,14,29.417,85.236,2,1,4744,1.142166018,246,1.674999952,15.35000038,620.3572998,16.70000076,-15.69999981,-6.216666698,264,42,2,57.44158936,99,18,TP,-57,58.67499995,232,-32
75,ZhangDC010,7,30.232,81.035,1,1,4930,0.306384325,548,-3.183333397,10.66666698,721.9019165,10.60000038,-18.79999924,-12.19999981,684,186,11,98.81745911,149,33,Himalaya,-77,73.8166666,686,2
76,ZhangDC011,7,30.232,81.064,2,1,4857,0.306384325,506,-3.970833302,10.97500038,728.6365356,10.19999981,-19.79999924,-13.01666641,635,180,8,103.8533249,137,37,Himalaya,-75,71.0291667,682,47
77,ZhangDC012,7,30.232,81.035,1,1,4942,0.306384325,548,-3.183333397,10.66666698,721.9019165,10.60000038,-18.79999924,-12.19999981,684,186,11,98.81745911,149,33,Himalaya,-77,73.8166666,686,2
78,ZhangDC015,11,30.232,81.045,3,1,4891,0.460652262,488,-3.258333206,10.73333359,725.1013794,10.60000038,-18.89999962,-12.30000019,674,184,10,99.63124084,147,33,Himalaya,-75,71.74166679,682,8
79,ZhangDC018,3,30.239,81.044,1,1,4800,0.306384325,578,-2.004166603,11.04166698,730.2473145,12.19999981,-17.79999924,-11.16666603,714,188,12,95.32346344,156,33,Himalaya,-75,72.9958334,682,-32
80,ZhangDC020,9,30.239,81.044,2,1,4710,0.306384325,578,-2.004166603,11.04166698,730.2473145,12.19999981,-17.79999924,-11.16666603,714,188,12,95.32346344,156,33,Himalaya,-75,72.9958334,682,-32
81,ZhangDC022,9,30.239,81.044,1,1,4710,0.306384325,578,-2.004166603,11.04166698,730.2473145,12.19999981,-17.79999924,-11.16666603,714,188,12,95.32346344,156,33,Himalaya,-75,72.9958334,682,-32
82,ZhangDC021,5,31.421,80.398,0,0,5120,1.065191746,373,-3.0625,13.75833321,812.460144,13.89999962,-21.29999924,-13,344,103,3,112.95755,56,25,Himalaya,-89.5,86.4375,353,9
83,ZhangDC023,7,31.421,80.397,3,1,5079,1.065191746,373,-3.0625,13.75833321,812.460144,13.89999962,-21.29999924,-13,344,103,3,112.95755,56,25,Himalaya,-89.5,86.4375,353,9
84,ZhangDC024,2,31.448,80.386,0,0,4942,1.065191746,368,-2.929166794,14.00833321,809.6673584,14.10000038,-21.20000076,-12.80000019,334,101,3,114.0712509,54,26,Himalaya,-89.5,86.57083321,353,19
85,ZhangDC028,5,31.448,80.386,2,1,4970,1.065191746,368,-2.929166794,14.00833321,809.6673584,14.10000038,-21.20000076,-12.80000019,334,101,3,114.0712509,54,26,Himalaya,-89.5,86.57083321,353,19
86,ZhangDC025,5,31.389,79.349,0,0,5068,0.499040931,474,-3.912499905,11.97500038,825.0623169,12.30000019,-21.29999924,-14.14999962,539,139,10,91.29291534,103,30,Himalaya,-87,83.0875001,472,-67
87,ZhangDC027,7,31.389,79.349,1,1,5049,0.499040931,474,-3.912499905,11.97500038,825.0623169,12.30000019,-21.29999924,-14.14999962,539,139,10,91.29291534,103,30,Himalaya,-87,83.0875001,472,-67
88,ZhangDC031,2,31.299,79.364,1,1,5325,0.499040931,450,-5.666666508,11.71666622,802.9896851,10.19999981,-22.70000076,-15.48333359,535,151,6,101.882576,95,34,Himalaya,-106,100.3333335,473.5,-61.5
89,MSC01,13,29.312994,101.498457,0,0,4462,0.801805019,595,0.275000006,12.98333359,591.4830933,12.5,-17,-7.199999809,782,161,3,94.2900238,13,26,HDM,-30,30.27500001,763.5,-18.5
90,MSC02,25,29.312994,101.498457,0,0,4462,0.801805019,595,0.275000006,12.98333359,591.4830933,12.5,-17,-7.199999809,782,161,3,94.2900238,13,26,HDM,-30,30.27500001,763.5,-18.5
91,MSC03,21,29.312994,101.498457,1,1,4462,0.801805019,595,0.275000006,12.98333359,591.4830933,12.5,-17,-7.199999809,782,161,3,94.2900238,13,26,HDM,-30,30.27500001,763.5,-18.5
92,MSC04,29,29.312994,101.498457,0,0,4462,0.801805019,595,0.275000006,12.98333359,591.4830933,12.5,-17,-7.199999809,782,161,3,94.2900238,13,26,HDM,-30,30.27500001,763.5,-18.5
93,MSC05,12,29.740841,101.725184,0,0,4552,1.116178989,592,-0.2416666,13.30000019,603.5004883,12.30000019,-17.89999962,-7.783333302,776,156,3,94.10610199,12,26,HDM,-32,31.7583334,791,15
94,MSC06,22,29.741076,101.725242,2,1,4519,1.116178989,592,-0.2416666,13.30000019,603.5004883,12.30000019,-17.89999962,-7.783333302,776,156,3,94.10610199,12,26,HDM,-32,31.7583334,791,15
95,MSC07,14,29.73939,101.714888,1,1,4484,1.116178989,582,-0.479166687,13.3083334,599.4257202,12,-18.10000038,-7.966666698,771,155,3,93.75714111,12,26,HDM,-32,31.52083331,791,20
96,MSC08,27,29.739617,101.714832,1,1,4472,1.116178989,582,-0.479166687,13.3083334,599.4257202,12,-18.10000038,-7.966666698,771,155,3,93.75714111,12,26,HDM,-32,31.52083331,791,20
97,MSC09,25,30.082868,101.80637,3,1,4410,0.793643773,612,0.300000042,12.9333334,619.4902954,13.30000019,-17,-7.466666698,764,154,3,93.33326721,13,27,HDM,-29,29.30000004,783.5,19.5
98,MSC10,25,30.084154,101.807814,2,1,4469,0.793643773,604,-0.183333248,12.73333359,622.8027954,12.80000019,-17.39999962,-8,768,154,3,93.28157806,13,29,HDM,-44.5,44.31666675,803,35
99,MSC11,24,30.084824,101.807017,3,1,4492,0.793643773,604,-0.183333248,12.73333359,622.8027954,12.80000019,-17.39999962,-8,768,154,3,93.28157806,13,29,HDM,-44.5,44.31666675,803,35
100,MSC12,12,30.082414,101.805149,2,1,4401,0.793643773,612,0.300000042,12.9333334,619.4902954,13.30000019,-17,-7.466666698,764,154,3,93.33326721,13,27,HDM,-29,29.30000004,783.5,19.5
101,MSC13,24,30.910675,102.892642,1,1,4429,0.4759489,573,-1.425000072,11.61666679,599.687439,11.30000019,-17.70000076,-8.983333588,813,153,5,84.40722656,19,31,HDM,-33.5,32.07499993,949,136
102,MSC14,19,30.91149,102.89412,0,0,4425,0.4759489,573,-1.425000072,11.61666679,599.687439,11.30000019,-17.70000076,-8.983333588,813,153,5,84.40722656,19,31,HDM,-33.5,32.07499993,949,136
103,MSC15,50,30.918557,102.894659,1,1,4357,0.4759489,572,-1.529166579,11.54166698,603.3823242,11.19999981,-17.79999924,-9.133333206,811,153,4,84.64279938,18,29,HDM,-44,42.47083342,954.5,143.5
104,MSC16,8,30.922646,102.897421,0,0,4532,0.4759489,572,-1.529166579,11.54166698,603.3823242,11.19999981,-17.79999924,-9.133333206,811,153,4,84.64279938,18,29,HDM,-44,42.47083342,954.5,143.5
105,MSC17,14,30.922736,102.895857,0,0,4483,0.4759489,572,-1.529166579,11.54166698,603.3823242,11.19999981,-17.79999924,-9.133333206,811,153,4,84.64279938,18,29,HDM,-44,42.47083342,954.5,143.5
106,MSC18,16,30.91917,102.882031,0,0,4528,0.4759489,552,-2.304166555,11.5583334,611.5794067,10.5,-18.60000038,-9.983333588,818,154,4,85.02973175,18,29,HDM,-44,41.69583345,954.5,136.5
107,MSC19,23,30.918999,102.88178,0,0,4523,0.4759489,552,-2.304166555,11.5583334,611.5794067,10.5,-18.60000038,-9.983333588,818,154,4,85.02973175,18,29,HDM,-44,41.69583345,954.5,136.5
108,MSC20,19,32.750085,103.751057,0,0,3859,0.390844822,633,-1.404166698,10.875,692.6643677,12.89999962,-18.10000038,-10.15000057,786,129,5,77.38286591,24,26,HDM,-40.5,39.0958333,723,-63
109,MSC21,26,32.753038,103.751957,0,0,3955,0.390844822,633,-1.404166698,10.875,692.6643677,12.89999962,-18.10000038,-10.15000057,786,129,5,77.38286591,24,26,HDM,-40.5,39.0958333,723,-63
110,MSC22,8,32.755907,103.758105,0,0,4121,0.390844822,633,-1.404166698,10.875,692.6643677,12.89999962,-18.10000038,-10.15000057,786,129,5,77.38286591,24,26,HDM,-40.5,39.0958333,723,-63
111,MSC23,18,31.694756,102.298524,0,0,4290,0.657316208,644,-0.341666639,12.9333334,648.3399658,13.69999981,-18.10000038,-8.583333015,748,143,4,85.10973358,17,24,HDM,-22.5,22.15833336,691.5,-56.5
112,MSC24,31,31.694984,102.298838,0,0,4268,0.657316208,644,-0.341666639,12.9333334,648.3399658,13.69999981,-18.10000038,-8.583333015,748,143,4,85.10973358,17,24,HDM,-22.5,22.15833336,691.5,-56.5
113,MSC25,29,30.188847,100.011181,1,1,4554,1.050613999,567,-0.204166636,14.45833302,637.8531494,13,-18.79999924,-8.266666412,622,146,2,100.7797241,10,28,HDM,-44.5,44.29583336,550.5,-71.5
