plot_number_T,plot_name,sr,latitude,longitude,cushion_num,cushion_01,alt_a,T_VELOCITY,AET,bio1,bio2,bio4,bio5,bio6,bio11,bio12,bio13,bio14,bio15,bio19,cfvo_15_mean,region,temperature_lgm,temperature_change,precipitation_lgm,precipitation_change
340,HuangXH008,18,32.310325,96.6282722,0,0,4616,0.745491445,444,-1.462499976,12.95833397,731.1638794,13.5,-19.60000038,-10.71666718,595,133,4,98.07622528,16,19,HDM,-63.5,62.03750002,342,-253
341,HuangXH009,19,32.3098139,96.6279333,0,0,4628,0.745491445,444,-1.462499976,12.95833397,731.1638794,13.5,-19.60000038,-10.71666718,595,133,4,98.07622528,16,19,HDM,-63.5,62.03750002,342,-253
342,HuangXH010,22,31.940525,96.4832083,2,1,4518,1.101418495,458,0.145833373,13.34166622,708.1937866,14.80000019,-17.79999924,-8.816666603,587,132,4,97.43224335,16,20,HDM,-65,65.14583337,345,-242
343,HuangXH011,13,31.9398083,96.4844056,0,0,4580,1.101418495,454,-1.137500048,13.29166698,705.5852661,13.39999962,-19.10000038,-10.03333378,605,137,4,97.09418488,17,21,HDM,-65,63.86249995,345,-260
344,HuangXH012,26,31.9397389,96.4845528,0,0,4574,1.101418495,454,-1.137500048,13.29166698,705.5852661,13.39999962,-19.10000038,-10.03333378,605,137,4,97.09418488,17,21,HDM,-65,63.86249995,345,-260
345,HuangXH013,18,31.9390944,96.4851722,0,0,4614,1.101418495,454,-1.137500048,13.29166698,705.5852661,13.39999962,-19.10000038,-10.03333378,605,137,4,97.09418488,17,21,HDM,-65,63.86249995,345,-260
346,HuangXH014,21,31.9394333,96.48465,0,0,4553,1.101418495,454,-1.137500048,13.29166698,705.5852661,13.39999962,-19.10000038,-10.03333378,605,137,4,97.09418488,17,21,HDM,-65,63.86249995,345,-260
347,HuangXH015,22,31.28875,95.840975,2,1,4818,0.925681651,512,3.879166603,13.45833302,695.6829834,18.79999924,-13.39999962,-5,582,131,3,97.34584045,14,37,HDM,-23.5,27.3791666,400.5,-181.5
348,HuangXH016,21,32.2889111,95.8413139,2,1,4849,1.520979166,458,-2.799999952,12.91666698,751.4349976,12.30000019,-21.20000076,-12.28333282,608,139,4,99.10163116,18,34,HDM,-89,86.20000005,345.5,-262.5
349,HuangXH017,23,32.799847,95.142833,0,0,4669,1.306838632,437,-2.708333254,13.38333321,781.7835693,13.10000038,-21.89999962,-12.61666679,574,132,4,100.9259415,17,34,HDM,-93,90.29166675,332,-242
350,HuangXH018,16,32.799167,95.142408,0,0,4710,1.306838632,437,-2.708333254,13.38333321,781.7835693,13.10000038,-21.89999962,-12.61666679,574,132,4,100.9259415,17,34,HDM,-93,90.29166675,332,-242
351,HuangXH019,12,32.798906,95.142208,0,0,4711,1.306838632,437,-2.708333254,13.38333321,781.7835693,13.10000038,-21.89999962,-12.61666679,574,132,4,100.9259415,17,34,HDM,-93,90.29166675,332,-242
352,HuangXH020,22,32.799633,95.140486,0,0,4746,1.306838632,439,-2.566666603,13.44999981,780.1000366,13.30000019,-21.79999924,-12.46666718,569,131,3,101.0013657,16,32,HDM,-93,90.4333334,332,-237
353,HuangXH021,21,32.923489,95.753444,1,1,4722,1.734882355,434,-4.175000191,12.69999981,799.3164673,11.60000038,-23.20000076,-14.28333378,592,135,5,99.55905151,19,32,HDM,-94.5,90.32499981,319,-273
354,HuangXH022,18,32.922728,95.753975,2,1,4769,1.734882355,434,-4.175000191,12.69999981,799.3164673,11.60000038,-23.20000076,-14.28333378,592,135,5,99.55905151,19,32,HDM,-94.5,90.32499981,319,-273
355,HuangXH023,14,32.922381,95.754175,1,1,4773,1.734882355,434,-4.175000191,12.69999981,799.3164673,11.60000038,-23.20000076,-14.28333378,592,135,5,99.55905151,19,32,HDM,-94.5,90.32499981,319,-273
356,HuangXH024,22,32.921722,95.753767,2,1,4773,1.734882355,434,-4.175000191,12.69999981,799.3164673,11.60000038,-23.20000076,-14.28333378,592,135,5,99.55905151,19,32,HDM,-94.5,90.32499981,319,-273
357,HuangXH025,25,33.5037611,96.410775,0,0,4602,1.081799626,400,-4.070833206,13.50833321,806.7005005,12,-23.79999924,-14.26666641,543,125,3,99.95018005,15,22,HDM,-100,95.92916679,275,-268
358,HuangXH026,15,33.5036306,96.4112056,0,0,4619,1.081799626,400,-4.070833206,13.50833321,806.7005005,12,-23.79999924,-14.26666641,543,125,3,99.95018005,15,22,HDM,-100,95.92916679,275,-268
359,HuangXH027,17,33.5035333,96.4112861,0,0,4578,1.081799626,400,-4.070833206,13.50833321,806.7005005,12,-23.79999924,-14.26666641,543,125,3,99.95018005,15,22,HDM,-100,95.92916679,275,-268
360,HuangXH028,13,33.5036778,96.4113694,0,0,4590,1.081799626,400,-4.070833206,13.50833321,806.7005005,12,-23.79999924,-14.26666641,543,125,3,99.95018005,15,22,HDM,-100,95.92916679,275,-268
361,HuangXH029,15,33.5708528,96.2127611,0,0,4835,1.367118597,399,-4.158333302,14.01666641,806.0279541,11.80000019,-24.29999924,-14.39999962,537,123,4,100.9866409,15,22,HDM,-102.5,98.3416667,274,-263
362,HuangXH030,10,32.5713556,97.2139139,0,0,4861,1.031263113,440,-4.3125,12.84166718,783.5151978,11.30000019,-23.10000038,-14.15000057,628,138,8,92.59170532,26,38,HDM,-85,80.6875,345.5,-282.5
363,HuangXH031,15,32.5714389,97.2165056,0,0,4963,1.031263113,440,-4.3125,12.84166718,783.5151978,11.30000019,-23.10000038,-14.15000057,628,138,8,92.59170532,26,38,HDM,-85,80.6875,345.5,-282.5
364,HuangXH032,12,32.5713028,97.213875,0,0,4859,1.031263113,440,-4.3125,12.84166718,783.5151978,11.30000019,-23.10000038,-14.15000057,628,138,8,92.59170532,26,38,HDM,-85,80.6875,345.5,-282.5
365,HuangXH033,20,32.5706556,97.2141306,0,0,4849,1.031263113,440,-4.3125,12.84166718,783.5151978,11.30000019,-23.10000038,-14.15000057,628,138,8,92.59170532,26,38,HDM,-85,80.6875,345.5,-282.5
366,HuangXH034,32,32.8005917,98.0091056,0,0,4540,1.090131521,442,-2.679166794,13.70833302,785.425354,13.30000019,-22.20000076,-12.60000038,571,125,4,95.19974518,16,23,TP,-66,63.32083321,350.5,-220.5
367,HuangXH035,17,32.7998583,98.0060528,0,0,4657,1.090131521,445,-3.879166842,13.40833378,786.6484375,12,-23.20000076,-13.76666641,588,129,5,94.43804932,19,28,TP,-66,62.12083316,350.5,-237.5
368,HuangXH036,14,32.7991222,98.0052083,0,0,4692,1.090131521,445,-3.879166842,13.40833378,786.6484375,12,-23.20000076,-13.76666641,588,129,5,94.43804932,19,28,TP,-66,62.12083316,350.5,-237.5
369,HuangXH037,25,32.7977333,98.0038083,1,1,4754,1.090131521,445,-3.879166842,13.40833378,786.6484375,12,-23.20000076,-13.76666641,588,129,5,94.43804932,19,28,TP,-66,62.12083316,350.5,-237.5
370,HuangXH038,13,32.7974278,98.003475,0,0,4770,1.090131521,445,-3.879166842,13.40833378,786.6484375,12,-23.20000076,-13.76666641,588,129,5,94.43804932,19,28,TP,-66,62.12083316,350.5,-237.5
371,HuangXH039,15,33.513778,97.031631,0,0,4711,2.522640467,402,-5.320833206,13.1916666,830.9782104,11,-25.20000076,-15.80000019,567,129,5,95.73377991,20,30,HDM,-102,96.67916679,280,-287
372,HuangXH040,18,33.514722,97.031231,0,0,4749,2.522640467,402,-5.320833206,13.1916666,830.9782104,11,-25.20000076,-15.80000019,567,129,5,95.73377991,20,30,HDM,-102,96.67916679,280,-287
373,HuangXH041,14,33.514883,97.033803,0,0,4773,2.522640467,403,-5.633333206,13.10000038,833.2857666,10.69999981,-25.39999962,-16.11666679,569,130,5,95.77072144,20,32,HDM,-102,96.36666679,280,-289
374,HuangXH042,20,33.399756,96.837853,0,0,4766,0.643409073,409,-3.970833302,13.85833359,784.2931519,11.69999981,-23.60000038,-13.85000038,571,129,4,96.61733246,19,26,HDM,-97.5,93.5291667,290.5,-280.5
375,HuangXH043,18,33.399744,96.837975,0,0,4771,0.643409073,409,-3.970833302,13.85833359,784.2931519,11.69999981,-23.60000038,-13.85000038,571,129,4,96.61733246,19,26,HDM,-97.5,93.5291667,290.5,-280.5
376,HuangXH044,20,33.399106,96.838842,1,1,4759,0.643409073,409,-3.970833302,13.85833359,784.2931519,11.69999981,-23.60000038,-13.85000038,571,129,4,96.61733246,19,26,HDM,-97.5,93.5291667,290.5,-280.5
377,HuangXH045,18,34.125767,97.659186,2,1,4804,1.82244873,370,-6.816666603,12.5,873.5178223,9.699999809,-27.10000038,-17.78333282,500,113,6,92.57250214,21,26,TP,-108.5,101.6833334,240,-260
378,HuangXH046,17,34.125561,97.659342,1,1,4820,1.82244873,370,-6.816666603,12.5,873.5178223,9.699999809,-27.10000038,-17.78333282,500,113,6,92.57250214,21,26,TP,-108.5,101.6833334,240,-260
379,HuangXH047,7,34.124778,97.660789,0,0,4859,1.82244873,373,-7.533333302,12.36666679,869.7683716,9,-27.70000076,-18.43333435,515,116,6,91.9133606,23,31,TP,-104,96.4666667,240,-275
380,HuangXH048,8,34.124764,97.661197,0,0,4850,1.82244873,373,-7.533333302,12.36666679,869.7683716,9,-27.70000076,-18.43333435,515,116,6,91.9133606,23,31,TP,-104,96.4666667,240,-275
381,HuangXH049,15,34.125742,97.660858,2,1,4798,1.82244873,370,-6.816666603,12.5,873.5178223,9.699999809,-27.10000038,-17.78333282,500,113,6,92.57250214,21,26,TP,-108.5,101.6833334,240,-260
382,HuangXH050,14,34.125614,97.660619,2,1,4803,1.82244873,370,-6.816666603,12.5,873.5178223,9.699999809,-27.10000038,-17.78333282,500,113,6,92.57250214,21,26,TP,-108.5,101.6833334,240,-260
383,HuangXH051,13,34.125358,97.661686,0,0,4808,1.82244873,370,-6.816666603,12.5,873.5178223,9.699999809,-27.10000038,-17.78333282,500,113,6,92.57250214,21,26,TP,-108.5,101.6833334,240,-260
384,HuangXH052,11,34.125461,97.662297,0,0,4799,1.82244873,370,-6.816666603,12.5,873.5178223,9.699999809,-27.10000038,-17.78333282,500,113,6,92.57250214,21,26,TP,-108.5,101.6833334,240,-260
385,HuangXH053,18,32.7976722,100.5662528,0,0,4549,1.129481792,544,-3.141666651,13.64999962,723.8308105,11.69999981,-22.60000038,-12.38333321,719,136,4,87.83628845,19,34,HDM,-61.5,58.35833335,518.5,-200.5
386,HuangXH054,19,32.7970306,100.5701611,1,1,4524,1.129481792,550,-2.962500095,13.65833378,724.744873,11.89999962,-22.5,-12.21666718,720,136,4,87.94311523,19,33,HDM,-61.5,58.53749991,518.5,-201.5
387,HuangXH055,18,32.7966917,100.5723639,0,0,4531,1.129481792,550,-2.962500095,13.65833378,724.744873,11.89999962,-22.5,-12.21666718,720,136,4,87.94311523,19,33,HDM,-61.5,58.53749991,518.5,-201.5
388,HuangXH056,17,32.7973333,100.5730833,1,1,4525,1.129481792,550,-2.962500095,13.65833378,724.744873,11.89999962,-22.5,-12.21666718,720,136,4,87.94311523,19,33,HDM,-61.5,58.53749991,518.5,-201.5
389,HuangXH057,5,32.4985278,100.3666306,0,0,4417,1.284283042,563,-2.5,13.46666718,768.5168457,13.10000038,-22.10000038,-12.3166666,704,137,4,89.36229706,18,31,HDM,-64,61.5,524.5,-179.5
390,HuangXH058,10,32.4987556,100.3669,0,0,4420,1.284283042,558,-2.833333254,13.46666622,762.40448,12.69999981,-22.39999962,-12.5666666,703,135,5,88.93653107,19,33,HDM,-64,61.16666675,524.5,-178.5
391,HuangXH059,5,32.49925,100.3680611,0,0,4464,1.284283042,558,-2.833333254,13.46666622,762.40448,12.69999981,-22.39999962,-12.5666666,703,135,5,88.93653107,19,33,HDM,-64,61.16666675,524.5,-178.5
392,HuangXH060,7,32.4993,100.3682917,0,0,4476,1.284283042,558,-2.833333254,13.46666622,762.40448,12.69999981,-22.39999962,-12.5666666,703,135,5,88.93653107,19,33,HDM,-64,61.16666675,524.5,-178.5
393,HuangXH061,6,31.8207639,100.2634667,0,0,4479,0.566538811,570,-1.450000048,13.73333359,687.0324707,12.80000019,-20.10000038,-10.19999981,693,139,4,91.87512207,17,25,HDM,-46,44.54999995,540,-153
394,HuangXH062,15,31.8209333,100.2633667,0,0,4489,0.566538811,570,-1.450000048,13.73333359,687.0324707,12.80000019,-20.10000038,-10.19999981,693,139,4,91.87512207,17,25,HDM,-46,44.54999995,540,-153
395,HuangXH063,4,31.8208611,100.2631028,0,0,4497,0.566538811,570,-1.450000048,13.73333359,687.0324707,12.80000019,-20.10000038,-10.19999981,693,139,4,91.87512207,17,25,HDM,-46,44.54999995,540,-153
396,HuangXH064,15,31.8213111,100.2629583,1,1,4516,0.566538811,570,-1.450000048,13.73333359,687.0324707,12.80000019,-20.10000038,-10.19999981,693,139,4,91.87512207,17,25,HDM,-46,44.54999995,540,-153
397,HuangXH065,9,31.8213389,100.2626222,0,0,4541,0.566538811,570,-1.450000048,13.73333359,687.0324707,12.80000019,-20.10000038,-10.19999981,693,139,4,91.87512207,17,25,HDM,-46,44.54999995,540,-153
398,HuangXH066,8,31.8213917,100.2625083,0,0,4552,0.566538811,570,-1.450000048,13.73333359,687.0324707,12.80000019,-20.10000038,-10.19999981,693,139,4,91.87512207,17,25,HDM,-46,44.54999995,540,-153
399,YZYF1,12,30.249206,89.298917,1,1,4994,1.246320724,227,-2.270833254,13.54166698,738.2363892,13,-20.5,-11.41666698,320,93,1,124.3263931,4,20,TP,-82,79.72916675,196,-124
400,YZYF2,20,30.249206,89.298917,4,1,5050,1.246320724,227,-2.270833254,13.54166698,738.2363892,13,-20.5,-11.41666698,320,93,1,124.3263931,4,20,TP,-82,79.72916675,196,-124
401,YZYF3,12,29.59088,86.659335,2,1,4965,0.697964191,203,-0.033333376,14.55000019,645.7002563,14.60000038,-17.20000076,-8.083333969,229,28,7,41.4129715,60,20,TP,-90.5,90.46666662,165,-64
402,YZYF4,13,29.585997,86.685565,3,1,5037,0.697964191,197,-1.070833325,14.14166641,651.5765991,13.39999962,-18.10000038,-9.199999809,215,27,7,42.01703644,57,20,TP,-76.5,75.42916668,168,-47
403,YZYF5,12,29.59111,86.659431,5,1,4978,0.697964191,203,-0.033333376,14.55000019,645.7002563,14.60000038,-17.20000076,-8.083333969,229,28,7,41.4129715,60,20,TP,-90.5,90.46666662,165,-64
404,YZYF6,10,29.584422,86.684836,2,1,5095,0.697964191,197,-1.070833325,14.14166641,651.5765991,13.39999962,-18.10000038,-9.199999809,215,27,7,42.01703644,57,20,TP,-76.5,75.42916668,168,-47
405,YZYF7,7,29.591854,86.658912,0,0,5010,0.697964191,200,-0.466666639,14.3166666,646.5620117,14,-17.5,-8.533332825,221,27,7,42.09669876,59,21,TP,-90.5,90.03333336,165,-56
406,YZYF8,8,29.583273,86.683958,2,1,5095,0.697964191,195,-1.066666722,14.28333378,649.2034912,13.39999962,-18.10000038,-9.149999619,211,26,6,42.02563858,57,20,TP,-65.5,64.43333328,179,-32
407,YZYF9,13,29.591584,86.657048,3,1,5091,0.697964191,196,-1.345833302,14.42500019,644.2559204,13.19999981,-18.39999962,-9.333333015,204,25,5,43.16335297,58,24,TP,-90.5,89.1541667,165,-39
408,YZYF10,19,29.704385,86.725871,4,1,5388,0.697964191,193,-3.6875,14.14166641,688.8334351,11.10000038,-21.10000038,-12.19999981,174,24,3,47.84644318,50,26,TP,-97,93.3125,161,-13
409,YZYF11,10,29.714328,86.728602,2,1,5327,0.697964191,194,-3.108333349,14.35000038,690.812561,11.80000019,-20.70000076,-11.66666698,180,24,4,45.53969193,50,25,TP,-88,84.89166665,162,-18
410,YZYF12,14,29.675157,86.718198,4,1,5499,0.697964191,194,-3.850000143,13.8166666,682.7817383,10.60000038,-21.10000038,-12.30000019,175,24,3,48.21253204,50,27,TP,-97,93.14999986,161,-14
411,YZYF13,12,29.712617,86.730176,3,1,5433,0.697964191,194,-3.108333349,14.35000038,690.812561,11.80000019,-20.70000076,-11.66666698,180,24,4,45.53969193,50,25,TP,-88,84.89166665,162,-18
412,YZYF14,14,29.674634,86.718838,4,1,5499,0.697964191,195,-3.820833206,13.67500019,683.069458,10.60000038,-21,-12.26666641,178,24,4,46.94226074,51,27,TP,-97,93.17916679,161,-17
413,YZYF15,16,29.67745,86.713116,4,1,5461,0.697964191,194,-3.549999952,14,681.6590576,11,-20.89999962,-11.98333359,180,24,4,46.61861801,52,27,TP,-97,93.45000005,161,-19
414,YZYF16,11,29.572657,84.895736,3,1,4686,0.566783011,252,1.554166675,14.15833378,635.901123,16.20000076,-15.10000038,-6.5,260,42,1,56.38320541,96,16,TP,-63.5,65.05416668,242,-18
415,YZYF17,23,29.5713694,84.8942,4,1,4584,0.566783011,252,1.554166675,14.15833378,635.901123,16.20000076,-15.10000038,-6.5,260,42,1,56.38320541,96,16,TP,-63.5,65.05416668,242,-18
416,YZYF18,8,29.57372,84.896967,1,1,4717,0.566783011,252,1.554166675,14.15833378,635.901123,16.20000076,-15.10000038,-6.5,260,42,1,56.38320541,96,16,TP,-63.5,65.05416668,242,-18
417,YZYF19,11,29.5721556,84.8924583,0,0,4623,0.566783011,252,1.554166675,14.15833378,635.901123,16.20000076,-15.10000038,-6.5,260,42,1,56.38320541,96,16,TP,-63.5,65.05416668,242,-18
418,YZYF20,10,29.5092,84.9297,0,0,4728,0.566783011,251,0.833333373,14.60000038,607.6046143,15.19999981,-15.80000019,-6.849999905,257,39,1,57.20604324,100,19,TP,-66.5,67.33333337,239.5,-17.5
419,YZYF21,17,29.5397361,84.9476667,1,1,4676,0.566783011,252,1,14.35000038,616.0984497,15.39999962,-15.60000038,-6.800000191,255,40,1,57.52824783,98,19,TP,-66.5,67.5,239.5,-15.5
420,YZYF22,12,29.5097,84.9311,1,1,4682,0.566783011,251,0.833333373,14.60000038,607.6046143,15.19999981,-15.80000019,-6.849999905,257,39,1,57.20604324,100,19,TP,-66.5,67.33333337,239.5,-17.5
421,YZYF23,22,29.5397,84.9480083,1,1,4667,0.566783011,252,1,14.35000038,616.0984497,15.39999962,-15.60000038,-6.800000191,255,40,1,57.52824783,98,19,TP,-66.5,67.5,239.5,-15.5
422,YZYF24,14,29.539,84.948,4,1,4667,0.566783011,252,1,14.35000038,616.0984497,15.39999962,-15.60000038,-6.800000191,255,40,1,57.52824783,98,19,TP,-66.5,67.5,239.5,-15.5
423,YZYF25,14,30.058513,85.635985,3,1,5239,0.871598303,209,-2.049999952,15.4333334,707.4891357,13.5,-20.29999924,-10.80000019,171,26,1,56.83155823,66,25,TP,-86,83.95000005,183.5,12.5
424,YZYF26,6,31.333109,85.152198,0,0,4861,0.921874642,201,-1.529166698,14.99166679,803.3720093,15.5,-20.5,-11.35000038,122,19,3,45.79571915,28,22,TP,-81.5,79.9708333,184.5,62.5
425,YZYF27,11,31.333054,85.152161,1,1,4863,0.921874642,201,-1.529166698,14.99166679,803.3720093,15.5,-20.5,-11.35000038,122,19,3,45.79571915,28,22,TP,-81.5,79.9708333,184.5,62.5
426,YZYF28,10,31.856946,84.955698,1,1,4880,1.02633667,194,-1.9375,14.70833302,823.6066284,15.69999981,-20.70000076,-11.86666679,106,21,2,58.1504364,17,27,TP,-89.5,87.5625,172,66
427,YZYF29,13,31.991752,85.007524,1,1,4645,1.733968616,187,0.208333433,15.38333321,833.8433228,18.29999924,-19.10000038,-9.866666794,104,20,2,56.0278511,17,24,TP,-73.5,73.70833343,171.5,67.5
428,YZYF30,14,31.991654,85.007243,4,1,4656,1.733968616,188,-0.104166701,15.35833359,835.772522,18,-19.39999962,-10.19999981,104,20,2,56.0278511,17,25,TP,-73.5,73.3958333,171.5,67.5
429,YZYF31,4,32.02,85.46,0,0,4815,1.034212708,185,-1.541666627,15.13333321,856.5385742,16.60000038,-21.20000076,-11.94999981,112,23,2,63.97130585,14,23,TP,-86.5,84.95833337,164.5,52.5
430,YZYF32,11,32.020019,85.460819,2,1,4815,1.034212708,185,-1.541666627,15.13333321,856.5385742,16.60000038,-21.20000076,-11.94999981,112,23,2,63.97130585,14,23,TP,-86.5,84.95833337,164.5,52.5
431,YZYF33,10,31.861072,86.118189,2,1,4761,1.416643023,188,-0.966666758,14.44999981,825.4016724,16.29999924,-19.70000076,-11.01666641,143,28,3,62.84883881,17,25,TP,-77.5,76.53333324,179,36
432,YZYF34,11,31.983819,87.806584,0,0,4610,1.576256275,225,0.495833367,13.375,852.9959717,17.70000076,-18.20000076,-10.01666641,273,62,3,92.04030609,11,28,TP,-73,73.49583337,215.5,-57.5
433,YZYF35,14,33.010105,88.333038,2,1,5147,1.824999094,207,-3.975000143,13.63333321,848.8803101,13.19999981,-22.70000076,-14.35000038,265,69,1,108.4285431,5,27,TP,-117,113.0249999,172,-93
434,YZYF36,20,32.948068,88.876473,4,1,4924,2.341685534,222,-2.825000048,13.48333359,889.0584717,14.60000038,-22.20000076,-13.8166666,309,80,2,108.3482056,7,24,TP,-105.5,102.675,188,-121
435,YZYF37,16,32.258194,89.110029,1,1,4735,2.785097122,244,-0.958333373,13.5666666,854.3493652,15.89999962,-20.10000038,-11.5666666,360,91,2,108.7071075,7,27,TP,-90.5,89.54166663,220,-140
436,YZYF38,15,31.245394,90.072385,0,0,5365,1.970469952,251,-4.425000191,13.01666641,778.4819336,11,-22.89999962,-14.08333302,400,111,2,118.3134155,6,24,TP,-102.5,98.07499981,230.5,-169.5
437,YZYF39,13,31.376813,90.150184,3,1,4707,1.600425363,275,-0.866666675,13.0666666,807.2042847,15,-19.39999962,-11,424,114,2,118.202095,6,23,TP,-88.5,87.63333333,248.5,-175.5
438,YZYF40,18,32.862853,91.927947,1,1,5311,1.707140684,306,-7.545833588,11.79166698,867.618103,9.100000381,-26.20000076,-18.16666794,449,121,3,113.5747604,12,33,TP,-139,131.4541664,240,-209
439,YZYF41,22,32.862,91.927,2,1,5310,1.707140684,306,-7.545833588,11.79166698,867.618103,9.100000381,-26.20000076,-18.16666794,449,121,3,113.5747604,12,33,TP,-139,131.4541664,240,-209
440,YZYF42,16,31.665021,91.870608,2,1,4653,4.02088356,346,-1.895833135,14.10833263,813.6881714,14.10000038,-21.79999924,-12.13333321,428,108,3,111.7566833,9,20,TP,-90,88.10416687,303.5,-124.5
441,YZYF43,13,31.02755,92.5483,0,0,4988,1.288336992,336,-4.054166794,12.89166641,776.9592896,11.60000038,-22.79999924,-13.6833334,547,125,5,101.0063324,18,41,TP,-99.5,95.44583321,286.5,-260.5
442,YZYF44,4,30.754474,93.074784,0,0,5177,1.347082257,340,-4.529166698,12.89166641,740.1273193,10.19999981,-22.89999962,-13.69999981,632,139,6,95.81117249,23,47,HDM,-97,92.4708333,290,-342
443,YZYF45,7,30.755448,93.07673,0,0,5168,1.347082257,340,-4.391666889,12.91666698,741.1104126,10.39999962,-22.79999924,-13.58333302,634,139,6,95.6441803,23,48,HDM,-97,92.60833311,290,-344
444,NiuYang001,12,28.1907,100.7881,0,0,4300,0.665657878,600,1.895833373,10.92500019,559.104248,12.69999981,-13.19999981,-5.266666412,777,160,5,85.80605316,21,30,HDM,-4,5.895833373,724.5,-52.5
445,NiuYang002,9,28.044464,100.766642,0,0,3972,0.665657878,651,4.433333397,11.0666666,537.9689941,15,-10.5,-2.5,776,160,5,83.80373383,25,29,HDM,18.5,-14.0666666,730,-46
446,NiuYang003,11,28.044356,100.766328,0,0,3961,0.665657878,651,4.433333397,11.0666666,537.9689941,15,-10.5,-2.5,776,160,5,83.80373383,25,29,HDM,18.5,-14.0666666,730,-46
447,NiuYang004,23,28.044431,100.766483,0,0,3964,0.665657878,651,4.433333397,11.0666666,537.9689941,15,-10.5,-2.5,776,160,5,83.80373383,25,29,HDM,18.5,-14.0666666,730,-46
448,MaXG01,12,27.055697,100.197028,0,0,3833,0.450746149,657,4.662499905,10.92500019,503.2761841,14.5,-9.699999809,-1.799999952,812,148,10,68.38695526,49,27,HDM,-1,5.662499905,860,48
449,MaXG02,10,27.056722,100.198164,0,0,3864,0.450746149,657,4.662499905,10.92500019,503.2761841,14.5,-9.699999809,-1.799999952,812,148,10,68.38695526,49,27,HDM,-1,5.662499905,860,48
450,MaXG03,3,26.157747,102.927656,0,0,3990,0.331023008,635,4.104166508,11.27499962,440.2244263,13,-9.600000381,-1.716666698,1045,203,6,84.98680878,33,34,HDM,12.5,-8.395833492,1097,52
451,MaXG04,17,26.156697,102.926675,1,1,4006,0.331023008,635,4.104166508,11.27499962,440.2244263,13,-9.600000381,-1.716666698,1045,203,6,84.98680878,33,34,HDM,12.5,-8.395833492,1097,52
452,MaXG05,17,26.160589,102.934658,0,0,3982,0.331023008,635,4.129166603,11.27499962,444.4887695,13,-9.600000381,-1.76666677,1026,199,6,85.34651184,31,33,HDM,12.5,-8.370833397,1097,71
453,DengT038,18,29.8025,92.3143,4,1,5180,1.095289111,261,-3.466666698,12.8166666,688.8604736,10.30000019,-21.39999962,-11.89999962,425,103,4,103.4601974,13,25,TP,-75,71.5333333,215,-210
454,DengT062,9,31.29861,96.7675,0,0,4730,0.566735387,455,-2.195833445,12.4416666,707.2689209,12.19999981,-19.5,-10.96666718,616,137,5,93.37082672,20,23,HDM,-60.5,58.30416656,351,-265
